Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.42.230.136,2021-08-06,839335,2385,126,166,299,311,281,1202
62.53.142.228,2021-08-06,839335,3274,259,321,549,432,424,1289
62.53.180.102,2021-08-06,839335,3996,230,620,826,500,424,1396
62.53.206.3,2021-08-06,839335,2402,140,182,318,306,281,1175
62.53.220.110,2021-08-06,839335,3966,364,534,744,501,409,1414
62.53.236.4,2021-08-06,839335,4724,860,1087,685,386,402,1304
62.53.247.120,2021-08-06,839335,2695,158,224,366,334,348,1265
62.56.230.100,2021-08-06,839335,43410,589,395,942,1376,1886,38222
62.58.50.4,2021-08-06,839335,2364,111,166,329,303,277,1178
62.58.50.5,2021-08-06,839335,2791,395,259,318,320,291,1208
62.58.50.6,2021-08-06,839335,2632,320,230,316,302,288,1176
62.58.62.132,2021-08-06,839335,2650,343,283,295,274,294,1161
62.65.128.10,2021-08-06,839335,18501,422,841,1719,1953,2476,11090
62.65.128.15,2021-08-07,839335,18417,441,809,1708,1974,2496,10989
62.68.98.8,2021-08-06,839335,4132,300,279,443,428,471,2211
62.69.62.6,2021-08-05,839335,34981,3263,4511,5797,5407,3816,12187
62.69.62.7,2021-08-07,839335,35240,3103,4273,6127,5548,3889,12300
62.69.64.167,2021-08-07,839335,38154,236,608,1856,3724,4258,27472
62.69.212.14,2021-08-06,839335,14331,468,1602,888,1024,1135,9214
62.72.64.237,2021-08-07,839335,25302,917,1071,3495,3286,3032,13501
62.72.64.241,2021-08-07,839335,25224,886,1096,3316,3354,3062,13510
62.81.16.129,2021-08-06,839335,3802,188,498,436,370,428,1882
62.91.2.20,2021-08-06,839335,72642,1246,5980,13914,12599,11437,27466
62.94.0.41,2021-08-07,839335,209007,8431,7175,11050,22361,57357,102633
62.94.0.42,2021-08-07,839335,208338,8411,7236,11005,22360,56808,102518
62.95.76.145,2021-08-07,839335,2955,138,182,318,330,463,1524
62.100.30.228,2021-08-07,839335,2354,125,177,292,311,305,1144
62.100.30.244,2021-08-06,839335,2390,111,173,306,280,337,1183
62.100.32.133,2021-08-06,839335,2303,124,179,272,318,298,1112
62.101.93.101,2021-08-06,839335,5401,1773,389,498,505,477,1759
62.108.1.65,2021-08-06,839335,2192,100,175,268,289,298,1062
62.108.1.66,2021-08-05,839335,2295,103,169,279,287,301,1156
62.117.40.112,2021-08-05,839335,42731,791,749,1307,1917,2734,35233
62.128.175.14,2021-08-06,839335,62800,1060,5761,10255,9130,9683,26911
62.128.175.15,2021-08-06,839335,63813,1077,5678,10249,9347,9689,27773
62.133.126.28,2021-08-06,839335,3344,715,511,408,310,284,1116
62.133.126.29,2021-08-06,839335,3292,643,529,419,305,313,1083
62.134.11.4,2021-08-07,839335,242463,1479,7202,32920,56302,71126,73434
62.141.0.1,2021-08-07,839335,5104,259,228,460,482,564,3111
62.141.0.2,2021-08-07,839335,5039,246,232,408,461,536,3156
62.141.58.13,2021-08-07,839335,14951,223,611,1652,1923,2025,8517
62.145.68.100,2021-08-07,839335,5417,99,217,364,396,444,3897
62.145.128.1,2021-08-07,839335,2472,133,136,317,291,289,1306
62.148.192.130,2021-08-06,839335,2465,327,202,285,283,278,1090
62.150.103.3,2021-08-06,839335,3840,173,260,420,429,425,2133
62.151.2.8,2021-08-06,839335,15581,1539,921,846,1078,1325,9872
62.151.8.100,2021-08-06,839335,17447,1758,1026,1049,1199,1602,10813
62.153.158.62,2021-08-06,839335,21454,220,652,2211,2471,2457,13443
62.165.32.250,2021-08-06,839335,42750,1752,2324,1835,1686,2313,32840
62.165.33.250,2021-08-06,839335,43369,1908,2257,1799,1660,2362,33383
62.166.128.10,2021-08-06,839335,2334,124,163,300,308,278,1161
62.169.194.10,2021-08-06,839335,2796,165,200,321,334,321,1455
62.169.194.11,2021-08-06,839335,2848,166,223,335,312,328,1484
62.169.194.17,2021-08-05,839335,2336,111,185,297,293,276,1174
62.169.194.18,2021-08-05,839335,2299,90,172,295,265,296,1181
62.171.194.100,2021-08-05,839335,11180,774,1552,2279,1745,1171,3659
62.171.194.105,2021-08-06,839335,11238,981,1639,2161,1619,1209,3629
62.172.176.80,2021-08-05,839335,8209,139,239,460,846,1885,4640
62.177.144.11,2021-08-05,839335,2418,148,225,302,291,291,1161
62.183.50.230,2021-08-05,839335,31467,1322,1006,1063,1211,2026,24839
62.189.34.83,2021-08-05,839335,2203,97,162,294,278,299,1073
62.192.128.60,2021-08-05,839335,57726,335,727,2171,4043,7469,42981
62.196.2.70,2021-08-07,839335,115279,7297,7322,12465,20684,33745,33766
62.201.129.99,2021-08-07,839335,3320,730,362,318,341,310,1259
62.201.159.99,2021-08-06,839335,3122,712,337,312,328,285,1148
62.204.64.101,2021-08-07,839335,73316,3245,4949,10889,14138,13126,26969
62.209.175.66,2021-08-06,839335,2239,101,202,274,293,260,1109
62.209.175.70,2021-08-05,839335,2370,133,186,320,305,277,1149
62.211.69.150,2021-08-06,839335,17501,712,1291,3469,2566,2363,7100
62.212.64.121,2021-08-05,839335,2170,116,161,279,276,275,1063
62.212.64.122,2021-08-05,839335,2686,226,229,354,339,328,1210
62.212.65.123,2021-08-05,839335,2742,217,221,395,357,322,1230
62.213.0.12,2021-08-05,839335,2433,247,189,293,317,280,1107
62.215.6.4,2021-08-05,839335,2428,185,175,293,289,267,1219
62.215.6.5,2021-08-05,839335,2389,181,177,255,312,282,1182
62.215.6.51,2021-08-06,839335,2505,197,183,272,283,288,1282
62.215.6.52,2021-08-05,839335,2258,178,179,263,287,287,1064
62.216.31.55,2021-08-05,839335,2268,129,158,290,300,270,1121
62.217.132.65,2021-08-05,839335,2468,127,203,297,273,281,1287
62.219.186.194,2021-08-05,839335,2262,95,141,273,292,298,1163
62.220.18.8,2021-08-05,839335,25304,943,1129,3390,3331,3009,13502
62.231.32.10,2021-08-06,839335,2311,164,175,304,290,271,1107
62.231.32.11,2021-08-06,839335,2409,155,172,281,300,308,1193
62.231.76.49,2021-08-05,839335,79257,1592,2880,2689,3379,6534,62183
62.231.96.2,2021-08-05,839335,3737,168,449,489,446,380,1805
62.233.128.17,2021-08-07,839335,192324,6577,5406,10024,20063,59109,91145
62.236.57.120,2021-08-05,839335,8610,919,985,1336,1011,1037,3322
62.240.32.5,2021-08-05,839335,6125,561,562,640,623,648,3091
62.240.110.92,2021-08-07,839335,2343,140,171,282,274,292,1184
62.240.110.197,2021-08-05,839335,2420,311,179,282,272,264,1112
62.240.110.218,2021-08-05,839335,3273,193,239,354,352,369,1766
62.241.162.35,2021-08-05,839335,2246,97,164,300,318,266,1101
62.241.163.200,2021-08-06,839335,2406,225,173,291,325,297,1095
62.241.163.201,2021-08-07,839335,3153,365,309,507,470,324,1178
62.243.190.7,2021-08-06,839335,87700,2498,4527,7377,13595,20325,39378
62.243.190.8,2021-08-05,839335,88156,2534,4527,7427,13582,20424,39662
62.244.176.176,2021-08-05,839335,2311,121,201,283,280,295,1131
62.244.177.177,2021-08-05,839335,2237,123,182,279,281,258,1114
